,mantel_r,"p_value (Hommola test based on all data, includes monophyletic clades of MAGs)*","p_value (Hommola test based on subsampled data, includes one MAG per host species)**","p_value (PACo test based on subsampled data, includes one MAG per host species)**",symbiont_tips_count (number of MAGs  in clade),host_tips_count (number of host species with MAGs represented in clade),host_tip_span (total number of host species spanned by host clade),symbiont_subtree,host_subtree,host_clade_depth,symbiont_clade_depth,taxonomic assignment of clade
159,0.817918551,0.003,0.004,0.026,27,5,20,"(('ZellerG_2014__CCIS52234160ST_4_0__bin_44':0.143895959,'AmatoKR_2018__qiita_sid_11212_11212_AtbelzLink1__bin_16':0.2151006531)100:0.0505091579,('CosteaPI_2017__SID713A004_11_0_0__bin_47':0.0556277525,((((('H04_WC32_S32__DASTool_bins_concoct_138_sub':0.0010743283,'G04_WC31_S31__DASTool_bins_concoct_117_sub':0.0053038191)100:0.0009822727,('B05_WC34_S34__DASTool_bins_metabat2_020_sub':0.0010170651,'A05_WC33_S33__DASTool_bins_metabat2_029':0.0005334087)100:0.0005145766)100:0.0016676135,('D05_WC36_S36__DASTool_bins_metabat2_151':0.0002256986,'C05_WC35_S35__DASTool_bins_metabat2_274_sub':0.0050244551)100:0.0006761819)100:0.005513275,(((('F02_WC14_S14__DASTool_bins_metabat2_109':0.0015235405,('E02_WC13_S13__DASTool_bins_maxbin2_039_sub':0.0123155507,'WC5_bin_63':0.0061988111)99:0.0050308356)87:0.0002106395,(((('E01_WC5_S5__DASTool_bins_metabat2_014':1.0008e-06,'WC6_bin_21':0.05197503)87:0.0004509244,'D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_89':0.0111588997)87:0.0004329531,'A01_WC1_S1__DASTool_bins_metabat2_088':0.0008771165)79:0.0002202332,'D01_WC4_S4__DASTool_bins_metabat2_012':0.000433955)79:2.4914e-06)79:0.0006562745,'C03_WC19_S19__DASTool_bins_metabat2_053':0.0011123237)100:0.000581032,('B01_WC2_S2__DASTool_bins_concoct_069_sub':0.0007062098,'WC8_bin_120':0.0065997611)100:0.0006656468)100:0.0101830201)100:0.0238752656,((('F04_WC30_S30__DASTool_bins_metabat2_074':1.0008e-06,('E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_13':1.0008e-06,'WC29_bin_43':0.007388498)100:0.0002154831)100:0.0004689788,'C04_WC27_S27__DASTool_bins_metabat2_204':0.0006665665)100:0.0023190568,('F03_WC22_S22__DASTool_bins_metabat2_091_sub':0.0018052408,('B04_WC26_S26__DASTool_bins_metabat2_093':1.0008e-06,'A04_WC25_S25__DASTool_bins_metabat2_162':0.0035133523)100:0.0015086755)100:0.0005035189)100:0.0267405765)100:0.0382451094)100:0.1444694395)100:0.036972955;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.536701584,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__
160,0.83843555,0.001,0.012,0.019,16,5,12,"(((('Lib4_2_bin_51_filtered':0.0006106453,'s02_bin_310_filtered':0.0013839574)100:0.0022711065,'RampelliS_2015__H15__bin_11':0.0046339712)100:0.0248861182,(('H04_WC32_S32__DASTool_bins_concoct_294_sub':0.0255579805,((((('F01_WC6_S6__DASTool_bins_77':0.003155685,'E01_WC5_S5__DASTool_bins_metabat2_082':0.0009393293)28:0.0002142541,('A01_WC1_S1__DASTool_bins_metabat2_018':0.0004779504,'WC8_116':0.0138188403)32:0.0002259198)28:0.0004654557,'WC5_104':0.0007215027)41:0.0004731361,('D02_WC12_S12__DASTool_bins_21':0.0043526117,'D01_WC4_S4__DASTool_bins_metabat2_110':0.0007253741)27:0.000549902)32:0.0006019865,'D04_WC28_S28__DASTool_bins_concoct_154':0.0007402991)100:0.014677729)100:0.0083496623,('F04_WC30_S30__DASTool_bins_concoct_198_sub':0.0050445635,('F03_WC22_S22__DASTool_bins_concoct_302':0.0028901157,'B04_WC26_S26__DASTool_bins_concoct_034_sub':0.0040072421)100:0.0017874485)100:0.0272524117)100:0.0263050439)100:0.036326558,'AmatoKR_2018__qiita_sid_11212_11212_JB34__bin_6':0.0517668088)100:0.0800757955;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.15301114,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
161,0.840704307,0.001,0.061,0.056,19,5,5,"(((((('ZellerG_2014__CCIS20795251ST_4_0__bin_70':0.003423764,'VogtmannE_2016__MMRS88581325ST_27_0_0__bin_40':0.0019851042)100:0.0040588109,'NielsenHB_2014__V1_UC55_4__bin_52':0.005330643)100:0.0047895043,('CM_madagascar__A69_01_1FE__bin_3':0.0046933241,'BackhedF_2015__SID1_M__bin_5':0.0047105852)100:0.0071775737)100:0.0277415838,'LeChatelierE_2013__MH0193__bin_34':0.0227148876)100:0.0080348003,'BackhedF_2015__SID274_M__bin_51':0.0332232339)100:0.0324890687,(('HicksAL_2018__WDG_0087__bin_28':0.003235294,('HicksAL_2018__WDG_0154__bin_51':0.0130298769,'HicksAL_2018__WDG_0145__bin_22':0.0031831209)100:0.0041138242)100:0.0483950807,(('G04_WC31_S31__DASTool_bins_metabat2_018':0.0170256603,((('F02_WC14_S14__DASTool_bins_concoct_110':0.0016888417,'A01_WC1_S1__DASTool_bins_concoct_031':0.0061868946)100:0.0003492208,'C03_WC19_S19__DASTool_bins_metabat2_127':0.0003142059)100:0.0120907487,'E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_162':0.0117907398)100:0.0051532957)100:0.0048071153,((('D03_WC20_S20__DASTool_bins_concoct_022_sub':0.0020584734,'WC16_84':0.0120709928)100:0.0004163804,'WC3_122':0.0083869315)100:0.0013161038,'AmatoKR_2018__qiita_sid_11212_11212_Ptr10__bin_22':0.0072230518)100:0.0117518072)100:0.0359246865)100:0.0271091696)100:0.0528520367;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.173185483,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__
162,0.84927786,0.001,0.054,0.053,29,5,12,"((((((('TungJ_2015__F02__bin_47':0.0006438731,'TungJ_2015__M16__bin_92':0.0008538845)100:0.0079913674,(('TungJ_2015__F03__bin_2':0.0138891127,'TungJ_2015__F25__bin_44':0.000342542)63:0.0007608487,'TungJ_2015__M05__bin_2':0.0015340784)39:0.0004969592)35:0.0011817861,('TungJ_2015__M01__bin_19':0.0082215248,'TungJ_2015__F31__bin_110':0.0007291581)35:0.0003032771)54:0.0027828854,'TungJ_2015__M03__bin_13':0.0002652986)35:0.0002350956,'TungJ_2015__F26__bin_26':2.8693e-06)100:0.0261276097,'TungJ_2015__M04__bin_113':0.0359836872)100:0.0244291507,(((('FengQ_2015__SID531361__bin_38':0.0063292056,'RampelliS_2015__H10__bin_62':0.0043363778)100:0.0023700676,'Obregon_TitoAJ_2015__HCO70__bin_8':0.0101078705)100:0.002712413,('BritoIL_2016__W3_22_ST__bin_91':0.0023669378,'BritoIL_2016__M2_46_ST__bin_65':0.0175599628)100:0.0022765919)100:0.0503980579,(('G04_WC31_S31__DASTool_bins_concoct_087':0.0095129805,'A05_WC33_S33__DASTool_bins_concoct_190':0.0017896808)100:0.0042902698,((((((('E02_WC13_S13__DASTool_bins_concoct_218_sub':0.0023219295,'WC16_73':0.0064348421)100:0.0090040971,'B01_WC2_S2__DASTool_bins_metabat2_031':0.0008047783)85:0.0003553811,'D02_WC12_S12__DASTool_bins_146':0.0010963831)85:0.0008719931,'WC17_116':0.0125722261)80:0.0002184252,(('E01_WC5_S5__DASTool_bins_concoct_104_sub':0.0010107495,'D04_WC28_S28__DASTool_bins_concoct_043':0.002753035)85:0.0005185069,('D03_WC20_S20__DASTool_bins_concoct_074':1.0008e-06,'C03_WC19_S19__DASTool_bins_concoct_115':0.0002192544)100:0.0006609674)73:0.0002214289)47:0.0006551503,'A01_WC1_S1__DASTool_bins_metabat2_057':0.0006652167)47:0.0002314529,('D01_WC4_S4__DASTool_bins_metabat2_183':0.0005621206,'WC3_135':0.0051073201)83:1.0007e-06)100:0.0049231373)100:0.0499696044)100:0.0199624789)100:0.0321379625;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.162530011,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__
163,0.861555796,0.001,0.025,0.019,27,5,12,"(((('RampelliS_2015__H9__bin_27':0.0028511271,'TungJ_2015__M10__bin_7':0.0061292195)100:0.013156345,((((('H04_WC32_S32__DASTool_bins_metabat2_193_sub':1.0008e-06,'G04_WC31_S31__DASTool_bins_metabat2_061_sub':0.0012285621)100:0.0024446102,'B05_WC34_S34__DASTool_bins_concoct_102_sub':0.0049703368)100:0.0010325971,'C05_WC35_S35__DASTool_bins_concoct_147':0.0132083906)100:0.0072606964,(('F02_WC14_S14__DASTool_bins_concoct_089_sub':0.0074383829,'E02_WC13_S13__DASTool_bins_metabat2_248':1.0008e-06)100:0.0014197578,('E01_WC5_S5__DASTool_bins_concoct_163':0.0017804208,'D03_WC20_S20__DASTool_bins_concoct_047_sub':0.0005364927)100:0.0002606437)100:0.0143771082)100:0.011718476,'F03_WC22_S22__DASTool_bins_concoct_022':0.022645815)100:0.0044213758)100:0.014484847,('s02_bin_351_filtered':0.0051118348,'CM_madagascar__V50_01_2FE__bin_22':0.0034470173)100:0.0277534947)100:0.1164104192,((((((('TungJ_2015__F01__bin_33':1.0008e-06,(('TungJ_2015__F04__bin_7':1.0008e-06,'TungJ_2015__F06__bin_17':1.0008e-06)90:1.0007e-06,'TungJ_2015__F22__bin_22':1.0008e-06)88:0.0002264189)100:4.9847e-06,'TungJ_2015__F02__bin_33':1.0008e-06)97:0.0002314121,'TungJ_2015__F05__bin_24':1.0008e-06)100:0.0002314473,'TungJ_2015__F23__bin_14':1.0008e-06)100:0.0004630822,'TungJ_2015__M17__bin_25':0.0002312923)96:1.0007e-06,((('TungJ_2015__F03__bin_18':1.0008e-06,'TungJ_2015__F30__bin_22':1.0008e-06)100:1.0007e-06,'TungJ_2015__M13__bin_26':1.0008e-06)100:0.0002311732,('TungJ_2015__F24__bin_7':0.0167070198,'TungJ_2015__F15__bin_1':2.6152e-06)100:0.0007631335)100:0.0004630199)100:0.0006363874,'TungJ_2015__F18__bin_20':0.0019578012)100:0.130073805)97:0.0331166585;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.318913733,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__
164,0.88474088,0.001,0.011,0.015,12,5,12,"(('CosteaPI_2017__SID713B041_11_0_0__bin_34':0.0357413889,((('G03_WC23_S23__DASTool_bins_G03_WC23_S23__bin_102':0.0065566477,('B04_WC26_S26__DASTool_bins_concoct_306_sub':0.0086682453,'A04_WC25_S25__DASTool_bins_concoct_178':1.0008e-06)100:0.0013731845)100:0.0013464029,'F04_WC30_S30__DASTool_bins_concoct_105':0.0052509014)100:0.0251108611,((('E01_WC5_S5__DASTool_bins_concoct_154':1.0008e-06,'WC5_50':0.0046463994)100:0.0006205575,('C03_WC19_S19__DASTool_bins_concoct_225_sub':0.0037985044,'A01_WC1_S1__DASTool_bins_concoct_036_sub':0.000747088)100:2.26432e-05)100:0.0264462571,'B05_WC34_S34__DASTool_bins_concoct_188':0.034620635)100:0.0135704148)100:0.0256006138)100:0.0376722438,('TungJ_2015__M14__bin_22':0.0058320899,'TungJ_2015__M01__bin_68':0.0043041069)100:0.046082741)100:0.0707238998;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.163378738,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
165,0.886223978,0.001,0.041,0.058,15,5,20,"(((((('XieH_2016__YSZC12003_37878__bin_38':0.0124141085,'KarlssonFH_2013__S640__bin_21':0.0091897492)100:0.0022297842,('D04_WC28_S28__DASTool_bins_maxbin2_245_sub':0.0132632182,'C04_WC27_S27__DASTool_bins_concoct_216_sub':0.0130934548)100:0.0120675088)100:0.0035708148,'XieH_2016__YSZC12003_35523__bin_61':0.0041451175)100:0.0106340961,'TungJ_2015__F02__bin_59':0.05933234)100:0.0635305576,'FengQ_2015__SID31749__bin_19':0.0800117921)100:0.1016091774,(((('AmatoKR_2018__qiita_sid_11212_11212_APF39__bin_14':0.0013865973,(('AmatoKR_2018__qiita_sid_11212_11212_APF38__bin_24':0.0089553211,'AmatoKR_2018__qiita_sid_11212_11212_APF106__bin_17':0.0189889456)100:0.0065620749,'AmatoKR_2018__qiita_sid_11212_11212_APF103__bin_24':0.0028392781)77:0.0007703063)77:0.0003992805,'AmatoKR_2018__qiita_sid_11212_11212_APF37__bin_22':0.0100151839)81:0.0021571136,'AmatoKR_2018__qiita_sid_11212_11212_APF105__bin_5':0.007911163)100:0.2068963612,('AmatoKR_2018__qiita_sid_11212_11212_Ahyb401__bin_16':0.019123444,'AmatoKR_2018__qiita_sid_11212_11212_Ahyb411__bin_9':0.0296122806)100:0.1278489575)100:0.0712976101)100:0.0389505896;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.531543767,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK3B98;s__
167,0.926887813,0.001,0.016,0.019,40,5,12,"(((((((((('TungJ_2015__F02__bin_6':0.0011590787,'TungJ_2015__M11__bin_40':1.0008e-06)100:0.0052839558,'TungJ_2015__M09__bin_19':1.0008e-06)66:1.0007e-06,'TungJ_2015__M17__bin_19':0.0054864372)37:1.0007e-06,'TungJ_2015__F20__bin_5':1.0008e-06)29:1.0007e-06,'TungJ_2015__F23__bin_8':1.0008e-06)71:1.0007e-06,'TungJ_2015__F18__bin_13':1.0008e-06)100:0.0018826792,('TungJ_2015__F05__bin_31':0.0007555505,'TungJ_2015__M06__bin_40':1.0008e-06)100:0.0031928487)100:0.0172435491,(('TungJ_2015__M14__bin_40':0.0002914318,(('TungJ_2015__M05__bin_12':1.0008e-06,'TungJ_2015__M01__bin_112':1.0008e-06)49:1.0007e-06,'TungJ_2015__M04__bin_90':0.0002814867)100:0.0002804717)100:0.0002804488,'TungJ_2015__F31__bin_142':1.0008e-06)100:0.0358572442)100:0.0193270126,'BritoIL_2016__M1_59_ST__bin_87':0.0426165877)100:0.0353409317,(((((('H04_WC32_S32__DASTool_bins_metabat2_189':1.0008e-06,'WC31_73':0.0241756374)43:1.0007e-06,'G04_WC31_S31__DASTool_bins_metabat2_064':1.0008e-06)100:0.0034390922,'B05_WC34_S34__DASTool_bins_concoct_238':0.0093501812)100:0.0004696042,('D05_WC36_S36__DASTool_bins_concoct_159':0.0009733703,'C05_WC35_S35__DASTool_bins_concoct_277':1.0008e-06)100:0.0010079613)100:0.0022737586,((((((('F02_WC14_S14__DASTool_bins_concoct_078_sub':0.0022028722,'B01_WC2_S2__DASTool_bins_metabat2_105_sub':1.0008e-06)100:0.0009795761,'WC8_93':0.0073276438)46:0.0003225486,'WC5_89':0.0162382737)33:2.5445e-06,'E01_WC5_S5__DASTool_bins_metabat2_107':1.0008e-06)46:0.0006428276,(('D04_WC28_S28__DASTool_bins_concoct_123':1.0008e-06,'A01_WC1_S1__DASTool_bins_concoct_129':0.0008600703)95:2.5994e-06,'WC16_bin_43':0.0020506675)83:0.0002091732)46:0.0002122385,('D03_WC20_S20__DASTool_bins_concoct_267':1.0008e-06,'C03_WC19_S19__DASTool_bins_concoct_125':0.0056105842)100:0.0002123633)40:1.0007e-06,'WC17_90':0.0169444799)100:0.0032646911)100:0.0126062639,(((('H03_WC24_S24__DASTool_bins_29':0.0003569146,'G03_WC23_S23__DASTool_bins_22':0.001288518)100:0.000645339,('B04_WC26_S26__DASTool_bins_metabat2_503':0.0002143832,'A04_WC25_S25__DASTool_bins_concoct_015':0.0002145538)100:0.0004393572)100:0.0002140455,'F03_WC22_S22__DASTool_bins_metabat2_026':0.0004409059)100:0.0015054035,(('F04_WC30_S30__DASTool_bins_concoct_109':1.0008e-06,'E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_76_sub':0.0107173992)100:0.0008918506,'C04_WC27_S27__DASTool_bins_metabat2_055':0.0006228986)100:0.0013548908)100:0.0155116451)100:0.0476198669)100:0.0223970051;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.18195282,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__
168,0.927301023,0.001,0.003,0.044,15,5,23,"(((((('WC34_WC34_007':0.0280680804,'WC9_107':0.0251924094)87:0.0131348294,('B05_WC34_S34__DASTool_bins_metabat2_306':0.0026191968,'A05_WC33_S33__DASTool_bins_concoct_172':1.0008e-06)99:0.0021728455)87:0.0051220698,((('E02_WC13_S13__DASTool_bins_concoct_119':0.0002653615,('D03_WC20_S20__DASTool_bins_concoct_232_sub':0.0033884631,'C03_WC19_S19__DASTool_bins_concoct_036':0.0026045566)94:0.0004494555)81:0.000325135,'D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_90':0.0046583765)87:0.0013170232,'A01_WC1_S1__DASTool_bins_concoct_121':0.001085521)87:0.0036455257)100:0.0273952343,'HicksAL_2018__WDG_0145__bin_12':0.0531931993)100:0.0658260407,(('AmatoKR_2018__qiita_sid_11212_11212_PVQui__bin_21':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_PVPet__bin_12':0.0051525377)94:0.0027320041,'AmatoKR_2018__qiita_sid_11212_11212_PVAbb__bin_22':2.1647e-06)100:0.1942011786)100:0.0187643254,('AmatoKR_2018__qiita_sid_11212_11212_Lc307__bin_13':0.0108206023,'AmatoKR_2018__qiita_sid_11212_11212_Lc301__bin_23':0.0006972552)100:0.1281571008)100:0.0133840497;","(('Propithecus_verreauxi':38.36398632,('Lemur_catta':19.5138425,'Eulemur_rubriventer':19.5138425)14:18.85014382)13:35.47290803,(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598);",148.1737887,0.359827749,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__
169,0.928029689,0.001,0.033,0.026,13,5,12,"((('TungJ_2015__M17__bin_15':0.007825323,'TungJ_2015__F17__bin_24':0.0009023738)100:0.017099067,'AmatoKR_2018__qiita_sid_11212_11212_RT2048__bin_15':0.0139909415)100:0.064422284,((((('WC34_36':0.0066668143,'C05_WC35_S35__DASTool_bins_metabat2_177':1.0008e-06)100:0.0002217877,'B05_WC34_S34__DASTool_bins_concoct_064':0.0002327089)55:2.7024e-06,'D05_WC36_S36__DASTool_bins_metabat2_063':0.0002248227)100:0.0072236677,('E02_WC13_S13__DASTool_bins_maxbin2_174_sub':0.0262449442,'D04_WC28_S28__DASTool_bins_concoct_235':0.0001504836)100:0.0084180486)100:0.0173615422,(('F04_WC30_S30__DASTool_bins_concoct_043':1.0008e-06,'E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_190':1.0008e-06)100:0.0041573273,('B04_WC26_S26__DASTool_bins_concoct_277':0.0072455261,'A04_WC25_S25__DASTool_bins_concoct_154':9.05483e-05)100:0.0110834473)100:0.0333556272)100:0.0521508494)99:0.0221280419;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.193522058,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__
